year,country,iosCode,flag_url,population,area,landArea,density,growthRate,worldPercentage,rank,netChange
2022,india,IN,https://s3.amazonaws.com/images.wpr.com/flags/24/IN.png,1417173173.0,3287590.0,2973190.0,480.5033,0.0081,0.1785,1,0.4184
2022,china,CN,https://s3.amazonaws.com/images.wpr.com/flags/24/CN.png,1425887337.0,9706961.0,9424702.9,151.2696,-0.0002,0.1781,2,-0.0113
2022,united states,US,https://s3.amazonaws.com/images.wpr.com/flags/24/US.png,338289857.0,9372610.0,9147420.0,37.1686,0.005,0.0425,3,0.0581
2022,indonesia,ID,https://s3.amazonaws.com/images.wpr.com/flags/24/ID.png,275501339.0,1904569.0,1877519.0,147.8196,0.0074,0.0347,4,0.0727
2022,pakistan,PK,https://s3.amazonaws.com/images.wpr.com/flags/24/PK.png,235824862.0,881912.0,770880.0,311.9625,0.0198,0.03,5,0.1495
2022,nigeria,NG,https://s3.amazonaws.com/images.wpr.com/flags/24/NG.png,218541212.0,923768.0,910770.0,245.7312,0.0241,0.028,6,0.168
2022,brazil,BR,https://s3.amazonaws.com/images.wpr.com/flags/24/BR.png,215313498.0,8515767.0,8358140.0,25.8936,0.0052,0.027,7,0.0393
2022,bangladesh,BD,https://s3.amazonaws.com/images.wpr.com/flags/24/BD.png,171186372.0,147570.0,130170.0,1328.6803,0.0103,0.0216,8,0.0557
2022,russia,RU,https://s3.amazonaws.com/images.wpr.com/flags/24/RU.png,144713314.0,17098242.0,16376870.0,8.82,-0.0019,0.018,9,-0.0158
2022,mexico,MX,https://s3.amazonaws.com/images.wpr.com/flags/24/MX.png,127504125.0,1964375.0,1943950.0,66.0797,0.0075,0.016,10,0.0299
2022,ethiopia,ET,https://s3.amazonaws.com/images.wpr.com/flags/24/ET.png,123379924.0,1104300.0,1128571.3,112.1126,0.0255,0.0158,11,0.1008
2022,japan,JP,https://s3.amazonaws.com/images.wpr.com/flags/24/JP.png,123951692.0,377930.0,364500.0,338.2566,-0.0053,0.0154,12,-0.0209
2022,philippines,PH,https://s3.amazonaws.com/images.wpr.com/flags/24/PH.png,115559009.0,342353.0,298170.0,393.5251,0.0154,0.0147,13,0.0561
2022,egypt,EG,https://s3.amazonaws.com/images.wpr.com/flags/24/EG.png,110990103.0,1002450.0,995450.0,113.2318,0.0156,0.0141,14,0.0551
2022,dr congo,CD,https://s3.amazonaws.com/images.wpr.com/flags/24/CD.png,99010212.0,2344858.0,2267050.0,45.1083,0.0329,0.0128,15,0.105
2022,vietnam,VN,https://s3.amazonaws.com/images.wpr.com/flags/24/VN.png,98186856.0,331212.0,313429.0,315.411,0.0068,0.0123,16,0.0208
2022,iran,IR,https://s3.amazonaws.com/images.wpr.com/flags/24/IR.png,88550570.0,1648195.0,1622500.0,54.9601,0.007,0.0111,17,0.0208
2022,turkey,TR,https://s3.amazonaws.com/images.wpr.com/flags/24/TR.png,85341241.0,783562.0,783562.0,109.5206,0.0056,0.0107,18,0.0143
2022,germany,DE,https://s3.amazonaws.com/images.wpr.com/flags/24/DE.png,83369843.0,357114.0,349390.0,238.4002,-0.0009,0.0104,19,-0.0012
2022,thailand,TH,https://s3.amazonaws.com/images.wpr.com/flags/24/TH.png,71697030.0,513120.0,510890.0,140.5416,0.0015,0.009,20,0.003
2022,united kingdom,GB,https://s3.amazonaws.com/images.wpr.com/flags/24/GB.png,67508936.0,242900.0,241930.0,279.9851,0.0034,0.0085,21,0.0072
2022,tanzania,TZ,https://s3.amazonaws.com/images.wpr.com/flags/24/TZ.png,65497748.0,945087.0,885800.0,76.1324,0.0296,0.0084,22,0.0622
2022,france,FR,https://s3.amazonaws.com/images.wpr.com/flags/24/FR.png,64626628.0,551695.0,547557.0,118.2646,0.002,0.0081,23,0.004
2022,south africa,ZA,https://s3.amazonaws.com/images.wpr.com/flags/24/ZA.png,59893885.0,1221037.0,1213090.0,49.8022,0.0087,0.0075,24,0.0173
2022,italy,IT,https://s3.amazonaws.com/images.wpr.com/flags/24/IT.png,59037474.0,301336.0,295717.0,199.078,-0.0028,0.0074,25,-0.0054
2022,kenya,KE,https://s3.amazonaws.com/images.wpr.com/flags/24/KE.png,54027487.0,580367.0,569140.0,96.8138,0.0199,0.0069,26,0.0346
2022,myanmar,MM,https://s3.amazonaws.com/images.wpr.com/flags/24/MM.png,54179306.0,676578.0,652670.0,83.6227,0.0074,0.0068,27,0.0125
2022,colombia,CO,https://s3.amazonaws.com/images.wpr.com/flags/24/CO.png,51874024.0,1141748.0,1109500.0,46.9447,0.0041,0.0065,28,0.008
2022,south korea,KR,https://s3.amazonaws.com/images.wpr.com/flags/24/KR.png,51815810.0,100210.0,97600.0,530.5744,-0.0006,0.0065,29,-0.0012
2022,uganda,UG,https://s3.amazonaws.com/images.wpr.com/flags/24/UG.png,47249585.0,241550.0,200520.0,242.2817,0.0282,0.0061,30,0.0423
2022,sudan,SD,https://s3.amazonaws.com/images.wpr.com/flags/24/SD.png,46874204.0,1886068.0,1868000.0,25.7543,0.0263,0.006,31,0.0394
2022,spain,ES,https://s3.amazonaws.com/images.wpr.com/flags/24/ES.png,47558630.0,505992.0,499556.6,95.1236,-0.0008,0.0059,32,-0.0014
2022,argentina,AR,https://s3.amazonaws.com/images.wpr.com/flags/24/AR.png,45510318.0,2780400.0,2736690.0,16.726,0.0058,0.0057,33,0.0091
2022,algeria,DZ,https://s3.amazonaws.com/images.wpr.com/flags/24/DZ.png,44903225.0,2381741.0,2381741.0,19.1484,0.0157,0.0057,34,0.0218
2022,iraq,IQ,https://s3.amazonaws.com/images.wpr.com/flags/24/IQ.png,44496122.0,438317.0,434128.0,104.8183,0.0227,0.0057,35,0.0322
2022,afghanistan,AF,https://s3.amazonaws.com/images.wpr.com/flags/24/AF.png,41128771.0,652230.0,652230.0,64.7622,0.027,0.0053,36,0.0357
2022,poland,PL,https://s3.amazonaws.com/images.wpr.com/flags/24/PL.png,39857145.0,312679.0,306130.0,134.0152,0.0293,0.0051,37,-0.0286
2022,canada,CA,https://s3.amazonaws.com/images.wpr.com/flags/24/CA.png,38454327.0,9984670.0,8965590.0,4.3256,0.0085,0.0048,38,0.0104
2022,morocco,MA,https://s3.amazonaws.com/images.wpr.com/flags/24/MA.png,37457971.0,446550.0,446300.0,84.7861,0.0102,0.0047,39,0.012
2022,saudi arabia,SA,https://s3.amazonaws.com/images.wpr.com/flags/24/SA.png,36408820.0,2149690.0,2149690.0,17.1871,0.0148,0.0046,40,0.0169
2022,ukraine,UA,https://s3.amazonaws.com/images.wpr.com/flags/24/UA.png,39701739.0,603500.0,579400.0,63.4184,-0.0745,0.0046,41,0.0428
2022,angola,AO,https://s3.amazonaws.com/images.wpr.com/flags/24/AO.png,35588987.0,1246700.0,1246700.0,29.425,0.0308,0.0046,42,0.0352
2022,uzbekistan,UZ,https://s3.amazonaws.com/images.wpr.com/flags/24/UZ.png,34627652.0,447400.0,440650.0,79.8002,0.0155,0.0044,43,0.0166
2022,yemen,YE,https://s3.amazonaws.com/images.wpr.com/flags/24/YE.png,33696614.0,527968.0,527970.0,65.2496,0.0224,0.0043,44,0.024
2022,peru,PE,https://s3.amazonaws.com/images.wpr.com/flags/24/PE.png,34049588.0,1285216.0,1280000.0,26.8381,0.0089,0.0043,45,0.0105
2022,malaysia,MY,https://s3.amazonaws.com/images.wpr.com/flags/24/MY.png,33938221.0,330803.0,328550.0,104.4241,0.0109,0.0043,46,0.0116
